id,name,country,normal_month,tavg,tmin,tmax,prcp,wspd,pres,tsun,latitude,longitude
01065,Karasjok,NO,10,-1.0,-4.3,2.2,36.8,,1009.6,,69.4667,25.5
01065,Karasjok,NO,11,-8.8,-13.1,-4.4,24.5,,1005.9,,69.4667,25.5
01065,Karasjok,NO,12,-12.2,-17.4,-7.1,24.6,,1006.1,,69.4667,25.5
01098,Vardo,NO,1,-3.6,-6.0,-1.2,56.8,,1002.7,,70.3667,31.1
01098,Vardo,NO,2,-4.2,-6.6,-1.8,51.5,,1004.0,,70.3667,31.1
01098,Vardo,NO,3,-2.6,-4.7,-0.5,53.0,,1005.4,,70.3667,31.1
01098,Vardo,NO,4,0.1,-1.8,2.0,39.6,,1011.1,,70.3667,31.1
01098,Vardo,NO,5,3.6,1.6,5.6,35.0,,1014.4,,70.3667,31.1
01098,Vardo,NO,6,7.0,5.0,9.1,45.0,,1012.7,,70.3667,31.1
01098,Vardo,NO,7,10.1,8.0,12.2,55.5,,1012.4,,70.3667,31.1
01098,Vardo,NO,8,10.2,8.1,12.3,52.0,,1012.0,,70.3667,31.1
01098,Vardo,NO,9,7.7,5.8,9.6,45.1,,1009.2,,70.3667,31.1
01098,Vardo,NO,10,3.2,1.5,5.0,77.4,,1007.2,,70.3667,31.1
01098,Vardo,NO,11,-0.3,-2.3,1.6,51.9,,1006.4,,70.3667,31.1
01098,Vardo,NO,12,-2.2,-4.4,0.1,57.4,,1002.9,,70.3667,31.1
01152,Bodo Airport,NO,1,-0.8,-2.9,1.3,100.8,,1003.4,552.9,67.2667,14.3667
01152,Bodo Airport,NO,2,-1.1,-3.3,1.1,81.6,,1004.9,2952.9,67.2667,14.3667
01152,Bodo Airport,NO,3,-0.1,-2.4,2.2,82.8,,1006.4,7002.9,67.2667,14.3667
01152,Bodo Airport,NO,4,3.8,1.3,6.2,69.3,,1011.3,10149.2,67.2667,14.3667
01152,Bodo Airport,NO,5,7.7,4.9,10.5,66.6,,1014.0,12695.0,67.2667,14.3667
01152,Bodo Airport,NO,6,11.0,8.2,13.8,64.4,,1012.3,13846.2,67.2667,14.3667
01152,Bodo Airport,NO,7,14.0,11.0,17.0,67.3,,1011.6,12094.3,67.2667,14.3667
01152,Bodo Airport,NO,8,13.4,10.6,16.3,83.2,,1011.1,10492.0,67.2667,14.3667
01152,Bodo Airport,NO,9,10.5,8.0,13.0,128.3,,1009.7,6508.0,67.2667,14.3667
01152,Bodo Airport,NO,10,5.9,3.9,7.9,134.5,,1008.1,4217.1,67.2667,14.3667
01152,Bodo Airport,NO,11,2.9,0.9,4.9,113.9,,1005.7,1335.0,67.2667,14.3667
01152,Bodo Airport,NO,12,0.7,-1.4,2.7,113.9,,1003.2,0.0,67.2667,14.3667
01212,Ona II,NO,1,3.6,2.0,5.2,156.3,,1005.5,,62.8667,6.5333
01212,Ona II,NO,2,3.0,1.4,4.7,145.0,,1009.0,,62.8667,6.5333
01212,Ona II,NO,3,3.6,1.8,5.4,143.6,,1010.3,,62.8667,6.5333
01212,Ona II,NO,4,5.7,3.7,7.7,84.9,,1012.0,,62.8667,6.5333
01212,Ona II,NO,5,8.4,6.3,10.5,71.3,,1013.7,,62.8667,6.5333
01212,Ona II,NO,6,11.0,9.1,12.8,89.3,,1014.0,,62.8667,6.5333
01212,Ona II,NO,7,13.4,11.5,15.3,79.3,,1012.1,,62.8667,6.5333
01212,Ona II,NO,8,14.2,12.4,16.1,124.8,,1010.0,,62.8667,6.5333
01212,Ona II,NO,9,12.2,10.4,14.0,141.6,,1010.1,,62.8667,6.5333
01212,Ona II,NO,10,8.8,7.1,10.5,174.4,,1009.3,,62.8667,6.5333
01212,Ona II,NO,11,6.2,4.6,7.9,139.3,,1004.7,,62.8667,6.5333
01212,Ona II,NO,12,4.0,2.4,5.7,172.4,,1005.0,,62.8667,6.5333
01233,Dombas,NO,1,,,-4.4,38.9,,,,62.0719,9.1161
01233,Dombas,NO,2,,,-2.0,24.7,,,,62.0719,9.1161
01233,Dombas,NO,3,,,2.0,22.8,,,,62.0719,9.1161
01233,Dombas,NO,4,,,6.9,20.0,,,,62.0719,9.1161
01233,Dombas,NO,5,,,12.0,36.2,,,,62.0719,9.1161
01233,Dombas,NO,6,,,16.9,53.3,,,,62.0719,9.1161
01233,Dombas,NO,7,,,18.8,68.6,,,,62.0719,9.1161
01233,Dombas,NO,8,,,16.8,66.3,,,,62.0719,9.1161
01233,Dombas,NO,9,,,12.6,27.4,,,,62.0719,9.1161
01233,Dombas,NO,10,,,5.7,27.5,,,,62.0719,9.1161
01233,Dombas,NO,11,,,0.5,33.3,,,,62.0719,9.1161
01233,Dombas,NO,12,,,-2.6,36.1,,,,62.0719,9.1161
01238,Fokstua Ii,NO,1,-7.0,-10.1,-3.9,32.5,,1007.2,,62.1167,9.2833
01238,Fokstua Ii,NO,2,-7.1,-10.3,-3.9,24.3,,1009.8,,62.1167,9.2833
01238,Fokstua Ii,NO,3,-4.9,-8.5,-1.3,23.3,,1010.9,,62.1167,9.2833
01238,Fokstua Ii,NO,4,-0.6,-4.4,3.2,17.7,,1014.2,,62.1167,9.2833
01238,Fokstua Ii,NO,5,4.1,-0.3,8.5,36.4,,1013.3,,62.1167,9.2833
01238,Fokstua Ii,NO,6,8.4,3.6,13.1,48.3,,1013.4,,62.1167,9.2833
01238,Fokstua Ii,NO,7,11.3,6.6,16.0,68.6,,1012.1,,62.1167,9.2833
01238,Fokstua Ii,NO,8,10.2,5.9,14.5,67.7,,1011.7,,62.1167,9.2833
01238,Fokstua Ii,NO,9,6.3,2.5,10.1,38.2,,1012.2,,62.1167,9.2833
01238,Fokstua Ii,NO,10,0.6,-2.6,3.8,36.5,,1010.5,,62.1167,9.2833
01238,Fokstua Ii,NO,11,-4.0,-7.0,-1.1,32.9,,1009.5,,62.1167,9.2833
01238,Fokstua Ii,NO,12,-6.5,-9.6,-3.4,29.0,,1008.0,,62.1167,9.2833
01241,Orland Iii,NO,1,0.9,-1.3,3.1,86.9,,1005.3,,63.7,9.6
01241,Orland Iii,NO,2,0.5,-1.7,2.8,83.1,,1006.7,,63.7,9.6
01241,Orland Iii,NO,3,2.1,-0.6,4.7,75.2,,1008.3,,63.7,9.6
01241,Orland Iii,NO,4,5.4,2.1,8.8,54.2,,1012.0,,63.7,9.6
01241,Orland Iii,NO,5,9.0,5.3,12.6,52.6,,1014.4,,63.7,9.6
01241,Orland Iii,NO,6,11.9,8.4,15.3,68.1,,1013.0,,63.7,9.6
01241,Orland Iii,NO,7,14.2,10.6,17.9,63.8,,1011.8,,63.7,9.6
01241,Orland Iii,NO,8,14.4,10.7,18.0,91.1,,1011.1,,63.7,9.6
01241,Orland Iii,NO,9,11.4,8.4,14.5,109.4,,1010.6,,63.7,9.6
01241,Orland Iii,NO,10,7.0,4.5,9.4,103.9,,1008.7,,63.7,9.6
01241,Orland Iii,NO,11,3.6,1.4,5.7,90.8,,1006.3,,63.7,9.6
01241,Orland Iii,NO,12,1.5,-0.7,3.8,111.4,,1005.1,,63.7,9.6
01271,Trondheim / Vaernes,NO,1,-1.1,-4.1,1.9,65.2,,1006.4,,63.4667,10.9333
01271,Trondheim / Vaernes,NO,2,-1.0,-4.1,2.0,65.5,,1009.9,,63.4667,10.9333
01271,Trondheim / Vaernes,NO,3,1.2,-2.2,4.6,61.3,,1010.4,,63.4667,10.9333
